date,time,trial,treatment,tank,light,sequence,day,hours_havail,hours_lout,c_hab,c_open_screen,c_open_cent,c_open_hab,c_open,c_ps,c_both
08/11/2020,17:00:00,6,0,6,1,1,2,,3,0,0,0,0,0,12,12
08/11/2020,18:00:00,1,1,1,1,1,2,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,2,1,2,1,1,2,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,3,1,3,1,1,2,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,4,0,4,1,1,2,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,5,0,5,1,1,2,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,6,0,6,1,1,2,,4,0,0,0,0,0,12,12
08/11/2020,19:00:00,1,1,1,1,1,2,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,2,1,2,1,1,2,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,3,1,3,1,1,2,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,4,0,4,1,1,2,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,5,0,5,1,1,2,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,6,0,6,1,1,2,,5,0,0,0,0,0,12,12
08/11/2020,20:00:00,1,1,1,1,1,2,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,2,1,2,1,1,2,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,3,1,3,1,1,2,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,4,0,4,1,1,2,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,5,0,5,1,1,2,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,6,0,6,1,1,2,,6,0,0,0,0,0,12,12
08/11/2020,21:00:00,1,1,1,1,1,2,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,2,1,2,1,1,2,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,3,1,3,1,1,2,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,4,0,4,1,1,2,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,5,0,5,1,1,2,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,6,0,6,1,1,2,,7,0,0,0,0,0,12,12
08/11/2020,22:00:00,1,1,1,1,1,2,,8,0,0,0,0,0,12,12
08/11/2020,22:00:00,2,1,2,1,1,2,,8,0,0,0,0,0,12,12
08/11/2020,22:00:00,3,1,3,1,1,2,,8,0,3,1,1,5,7,7
08/11/2020,22:00:00,4,0,4,1,1,2,,8,0,1,0,0,1,11,11
08/11/2020,22:00:00,5,0,5,1,1,2,,8,0,0,0,0,0,12,12
08/11/2020,22:00:00,6,0,6,1,1,2,,8,0,0,0,0,0,12,12
08/11/2020,23:00:00,1,1,1,1,1,2,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,2,1,2,1,1,2,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,3,1,3,1,1,2,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,4,0,4,1,1,2,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,5,0,5,1,1,2,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,6,0,6,1,1,2,,9,0,0,0,0,0,12,12
09/11/2020,00:00:00,1,1,1,1,1,3,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,2,1,2,1,1,3,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,3,1,3,1,1,3,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,4,0,4,1,1,3,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,5,0,5,1,1,3,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,6,0,6,1,1,3,,10,0,0,0,0,0,12,12
09/11/2020,01:00:00,1,1,1,1,1,3,,11,0,0,0,0,0,12,12
09/11/2020,01:00:00,2,1,2,1,1,3,,11,0,0,0,0,0,12,12
09/11/2020,01:00:00,3,1,3,1,1,3,,11,0,0,0,0,0,12,12
09/11/2020,01:00:00,4,0,4,1,1,3,,11,0,0,0,0,0,12,12
09/11/2020,01:00:00,5,0,5,1,1,3,,11,0,0,0,0,0,12,12
09/11/2020,01:00:00,6,0,6,1,1,3,,11,0,0,0,0,0,12,12
09/11/2020,02:00:00,1,1,1,1,1,3,,12,0,0,0,0,0,12,12
09/11/2020,02:00:00,2,1,2,1,1,3,,12,0,0,0,0,0,12,12
09/11/2020,02:00:00,3,1,3,1,1,3,,12,0,0,0,0,0,12,12
09/11/2020,02:00:00,4,0,4,1,1,3,,12,0,0,0,0,0,12,12
09/11/2020,02:00:00,5,0,5,1,1,3,,12,0,0,0,0,0,12,12
09/11/2020,02:00:00,6,0,6,1,1,3,,12,0,0,0,0,0,12,12
09/11/2020,03:00:00,1,1,1,1,1,3,,13,0,0,0,0,0,12,12
09/11/2020,03:00:00,2,1,2,1,1,3,,13,0,0,0,0,0,12,12
09/11/2020,03:00:00,3,1,3,1,1,3,,13,0,0,0,0,0,12,12
09/11/2020,03:00:00,4,0,4,1,1,3,,13,0,0,0,0,0,12,12
09/11/2020,03:00:00,5,0,5,1,1,3,,13,0,0,0,0,0,12,12
09/11/2020,03:00:00,6,0,6,1,1,3,,13,0,0,0,0,0,12,12
09/11/2020,04:00:00,1,1,1,1,1,3,,14,0,0,0,0,0,12,12
09/11/2020,04:00:00,2,1,2,1,1,3,,14,0,0,0,0,0,12,12
09/11/2020,04:00:00,3,1,3,1,1,3,,14,0,0,0,0,0,12,12
09/11/2020,04:00:00,4,0,4,1,1,3,,14,0,0,0,0,0,12,12
09/11/2020,04:00:00,5,0,5,1,1,3,,14,0,0,0,0,0,12,12
09/11/2020,04:00:00,6,0,6,1,1,3,,14,0,0,0,0,0,12,12
09/11/2020,05:00:00,1,1,1,1,1,3,,15,0,0,0,0,0,12,12
09/11/2020,05:00:00,2,1,2,1,1,3,,15,0,0,0,0,0,12,12
09/11/2020,05:00:00,3,1,3,1,1,3,,15,0,0,0,0,0,12,12
09/11/2020,05:00:00,4,0,4,1,1,3,,15,0,0,0,0,0,12,12
09/11/2020,05:00:00,5,0,5,1,1,3,,15,0,0,0,0,0,12,12
09/11/2020,05:00:00,6,0,6,1,1,3,,15,0,0,0,0,0,12,12
09/11/2020,06:00:00,1,1,1,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,06:00:00,2,1,2,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,06:00:00,3,1,3,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,06:00:00,4,0,4,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,06:00:00,5,0,5,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,06:00:00,6,0,6,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,07:00:00,1,1,1,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,07:00:00,2,1,2,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,07:00:00,3,1,3,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,07:00:00,4,0,4,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,07:00:00,5,0,5,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,07:00:00,6,0,6,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,08:00:00,1,1,1,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,08:00:00,2,1,2,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,08:00:00,3,1,3,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,08:00:00,4,0,4,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,08:00:00,5,0,5,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,08:00:00,6,0,6,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,09:00:00,1,1,1,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,09:00:00,2,1,2,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,09:00:00,3,1,3,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,09:00:00,4,0,4,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,09:00:00,5,0,5,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,09:00:00,6,0,6,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,10:00:00,1,1,1,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,10:00:00,2,1,2,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,10:00:00,3,1,3,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,10:00:00,4,0,4,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,10:00:00,5,0,5,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,10:00:00,6,0,6,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,11:00:00,1,1,1,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,11:00:00,2,1,2,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,11:00:00,3,1,3,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,11:00:00,4,0,4,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,11:00:00,5,0,5,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,11:00:00,6,0,6,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,12:00:00,1,1,1,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,12:00:00,2,1,2,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,12:00:00,3,1,3,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,12:00:00,4,0,4,0,1,3,,,0,0,0,0,0,12,12
09/11/2020,12:00:00,5,0,5,0,1,3,,,0,0,0,0,0,12,12
